"Отметка времени","Ваш вік:","Ваша сфера діяльності чи навчання: ","Чи купуєте або гортаєте ви ілюстровані видання (артбуки, пікчербуки, графічні романи, комікси, манґу) для власного задоволення?","Що для вас найважливіше в книзі?","Як вам більше подобається сприймати приховані сенси в ілюстрованій книзі?  ","Що вас найбільше чіпляє в ілюстрованих виданнях?","З якою метою ви найчастіше купуєте/берете до рук такі видання?","Яка стилістика ілюстрацій вам найбільше відгукується?","Якій кольоровій гамі в ілюстрованих виданнях ви надаєте перевагу?","Як ви ставитеся до різкої зміни колористики всередині книги (наприклад, коли кольорові сторінки змінюються на чорно-білі або навпаки)?  ","Що для вас важливо в самій конструкції видання?","Яку тематичну сувенірну продукцію вам було б приємно отримати в комплекті з книгою?","А тут можна написати будь-що від себе авторці опитування або скинути посилання на улюблений мем 🤍 "
"2026/08/23 12:42:17 PM GMT+3","18–24 років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Не купую, але мені це цікаво","Переважно візуал (історія розповідається чисто картинками, без слів або майже без них)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Виразний авторський стиль (який виділяється і запам'ятовується);Загальна атмосфера і настрій (затишок, таємничість або спокій);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо)","Отримати естетичне задоволення та натхнення","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти);Експериментальна графіка (нестандартна, модерна графіка, яка не є масовою, але одразу запам'ятовується)","Пастельна, стримана","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Якісна тверда палітурка, яка тримає форму та захищає сторінки;Великий формат, де добре видно всі деталі;Цупкий матовий папір без зайвих відблисків","Арт-картки/листівки;Стікерпак/наліпки","https://pin.it/6goMeJoEx"
"2026/08/23 12:46:24 PM GMT+3","18–24 років","Гуманітарна та суспільна (маркетинг, освіта, філологія, психологія, менеджмент)","Інколи купую під настрій","Переважно текст (головне — велика розповідь, а ілюстрації не обов'язкові або другорядні)","Коли є послідовна історія, яка веде читача від початку до розв'язки","Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій)","Емоційно відпочити та перемкнути увагу;Відпочити від екрану та інформаційного шуму","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати)","Насичена, яскрава","Негативно — віддаю перевагу єдиній кольоровій гамі протягом усієї книги","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки","Стікерпак/наліпки",""
"2026/08/23 12:57:20 PM GMT+3","До 18 років","Гуманітарна та суспільна (маркетинг, освіта, філологія, психологія, менеджмент)","Не купую, але мені це цікаво","Переважно текст (головне — велика розповідь, а ілюстрації не обов'язкові або другорядні)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо)","Емоційно відпочити та перемкнути увагу;Відпочити від екрану та інформаційного шуму","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Мінімалістична графіка (прості форми, чисті заливки, чіткі контури)","Насичена, яскрава","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки","Стікерпак/наліпки;Закладки","Бажаю гарної дипломної роботи! Успіхів 🤍"
"2026/08/23 1:19:39 PM GMT+3","18–24 років","Технічна та природнича (IT, інженерія, наука, фінанси, логістика)","Інколи купую під настрій","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли є послідовна історія, яка веде читача від початку до розв'язки","Захоплива або зворушлива історія (цікавий сюжет, персонажі);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо)","Емоційно відпочити та перемкнути увагу","Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти);Колажна графіка (мікс різних текстур, фотографій, паперових елементів);Експериментальна графіка (нестандартна, модерна графіка, яка не є масовою, але одразу запам'ятовується)","Насичена, яскрава","Негативно — віддаю перевагу єдиній кольоровій гамі протягом усієї книги","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки;Великий формат, де добре видно всі деталі","Стікерпак/наліпки",""
"2026/08/23 1:23:56 PM GMT+3","18–24 років","Технічна та природнича (IT, інженерія, наука, фінанси, логістика)","Не купую, але мені це цікаво","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли є послідовна історія, яка веде читача від початку до розв'язки","Виразний авторський стиль (який виділяється і запам'ятовується);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Отримати естетичне задоволення та натхнення;Для власної колекції або на подарунок","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Колажна графіка (мікс різних текстур, фотографій, паперових елементів);Експериментальна графіка (нестандартна, модерна графіка, яка не є масовою, але одразу запам'ятовується)","Насичена, яскрава","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки;Цупкий матовий папір без зайвих відблисків","Арт-картки/листівки;Стікерпак/наліпки;Закладки;Металевий пін/значок",""
"2026/08/23 1:25:50 PM GMT+3","До 18 років","Гуманітарна та суспільна (маркетинг, освіта, філологія, психологія, менеджмент)","Інколи купую під настрій","Переважно текст (головне — велика розповідь, а ілюстрації не обов'язкові або другорядні)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Виразний авторський стиль (який виділяється і запам'ятовується);Загальна атмосфера і настрій (затишок, таємничість або спокій);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Відпочити від екрану та інформаційного шуму;Отримати естетичне задоволення та натхнення;Для власної колекції або на подарунок","Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти);Колажна графіка (мікс різних текстур, фотографій, паперових елементів);Експериментальна графіка (нестандартна, модерна графіка, яка не є масовою, але одразу запам'ятовується)","Не має значення, головне — загальна ідея","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Якісна тверда палітурка, яка тримає форму та захищає сторінки;Наявність захисної суперобкладинки;Цупкий матовий папір без зайвих відблисків","Арт-картки/листівки;Стікерпак/наліпки;Закладки;Металевий пін/значок",""
"2026/08/23 1:31:23 PM GMT+3","До 18 років","Гуманітарна та суспільна (маркетинг, освіта, філологія, психологія, менеджмент)","Інколи купую під настрій","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли сенс розкривається повністю візуально через метафори (без підказок)","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Емоційно відпочити та перемкнути увагу;Відпочити від екрану та інформаційного шуму","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Експериментальна графіка (нестандартна, модерна графіка, яка не є масовою, але одразу запам'ятовується)","Чорно-біла / монохромна","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Цупкий матовий папір без зайвих відблисків","Стікерпак/наліпки","Рада допомогти!!🩷🪷 Улюблений мем зараз: https://pin.it/6dczUw4s2"
"2026/08/23 1:50:45 PM GMT+3","18–24 років","Гуманітарна та суспільна (маркетинг, освіта, філологія, психологія, менеджмент)","Інколи купую під настрій","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій)","Емоційно відпочити та перемкнути увагу;Отримати естетичне задоволення та натхнення","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти)","Чорно-біла / монохромна","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки","Арт-картки/листівки;Стікерпак/наліпки",""
"2026/08/23 1:57:18 PM GMT+3","18–24 років","Технічна та природнича (IT, інженерія, наука, фінанси, логістика)","Не купую, але мені це цікаво","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли є послідовна історія, яка веде читача від початку до розв'язки","Захоплива або зворушлива історія (цікавий сюжет, персонажі);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Отримати естетичне задоволення та натхнення","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати)","Не має значення, головне — загальна ідея","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Якісна тверда палітурка, яка тримає форму та захищає сторінки;Цупкий матовий папір без зайвих відблисків","Арт-картки/листівки;Стікерпак/наліпки;Закладки;Металевий пін/значок;Достатньо лише самої книги, без додаткових елементів","https://pin.it/2WTyXvxyF |  https://pin.it/1akcQZaW1"
"2026/08/23 2:01:26 PM GMT+3","18–24 років","Гуманітарна та суспільна (маркетинг, освіта, філологія, психологія, менеджмент)","Не купую, але мені це цікаво","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли є послідовна історія, яка веде читача від початку до розв'язки","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо)","Отримати естетичне задоволення та натхнення;Для власної колекції або на подарунок","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Мінімалістична графіка (прості форми, чисті заливки, чіткі контури);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти);Експериментальна графіка (нестандартна, модерна графіка, яка не є масовою, але одразу запам'ятовується)","Не має значення, головне — загальна ідея","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки;Великий формат, де добре видно всі деталі;Цупкий матовий папір без зайвих відблисків","Стікерпак/наліпки;Закладки;Металевий пін/значок",""
"2026/08/23 2:16:24 PM GMT+3","18–24 років","Гуманітарна та суспільна (маркетинг, освіта, філологія, психологія, менеджмент)","Не купую, але мені це цікаво","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Емоційно відпочити та перемкнути увагу;Відпочити від екрану та інформаційного шуму;Отримати естетичне задоволення та натхнення;Для власної колекції або на подарунок","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти)","Не має значення, головне — загальна ідея","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки;Наявність захисної суперобкладинки","Арт-картки/листівки;Стікерпак/наліпки;Закладки;Металевий пін/значок","Поки що це найцікавіше опитування, яке я коли-небудь проходила. Аж знову закортіло засісти безперервно читати :)"
"2026/08/23 2:27:39 PM GMT+3","18–24 років","Гуманітарна та суспільна (маркетинг, освіта, філологія, психологія, менеджмент)","Не купую, але мені це цікаво","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо)","Емоційно відпочити та перемкнути увагу","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти);Колажна графіка (мікс різних текстур, фотографій, паперових елементів);Експериментальна графіка (нестандартна, модерна графіка, яка не є масовою, але одразу запам'ятовується)","Насичена, яскрава","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки;Наявність захисної суперобкладинки;Великий формат, де добре видно всі деталі","Арт-картки/листівки;Стікерпак/наліпки;Закладки",""
"2026/08/23 2:39:53 PM GMT+3","18–24 років","Гуманітарна та суспільна (маркетинг, освіта, філологія, психологія, менеджмент)","Інколи купую під настрій","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли сенс розкривається повністю візуально через метафори (без підказок)","Виразний авторський стиль (який виділяється і запам'ятовується);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо)","Емоційно відпочити та перемкнути увагу;Отримати естетичне задоволення та натхнення","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти);Експериментальна графіка (нестандартна, модерна графіка, яка не є масовою, але одразу запам'ятовується)","Насичена, яскрава","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Наявність захисної суперобкладинки;Цупкий матовий папір без зайвих відблисків","Закладки;Достатньо лише самої книги, без додаткових елементів",""
"2026/08/23 2:47:10 PM GMT+3","18–24 років","Технічна та природнича (IT, інженерія, наука, фінанси, логістика)","Так, купую регулярно","Переважно візуал (історія розповідається чисто картинками, без слів або майже без них)","Коли сенс розкривається повністю візуально через метафори (без підказок)","Виразний авторський стиль (який виділяється і запам'ятовується);Загальна атмосфера і настрій (затишок, таємничість або спокій)","Емоційно відпочити та перемкнути увагу;Отримати естетичне задоволення та натхнення","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти)","Темна, дещо похмура","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Великий формат, де добре видно всі деталі","Арт-картки/листівки;Стікерпак/наліпки;Закладки","https://tenor.com/ru/view/gachi-gachi-muchi-gym-gif-26208724"
"2026/08/23 2:51:25 PM GMT+3","До 18 років","Технічна та природнича (IT, інженерія, наука, фінанси, логістика)","Ні, мені це нецікаво","Переважно візуал (історія розповідається чисто картинками, без слів або майже без них)","Коли сенс розкривається повністю візуально через метафори (без підказок)","Виразний авторський стиль (який виділяється і запам'ятовується);Загальна атмосфера і настрій (затишок, таємничість або спокій)","Для власної колекції або на подарунок","Мінімалістична графіка (прості форми, чисті заливки, чіткі контури)","Насичена, яскрава","Негативно — віддаю перевагу єдиній кольоровій гамі протягом усієї книги","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Великий формат, де добре видно всі деталі","Арт-картки/листівки;Стікерпак/наліпки;Закладки;Металевий пін/значок","https://vt.tiktok.com/ZSVun4myK/"
"2026/08/23 2:59:33 PM GMT+3","35+ років","Гуманітарна та суспільна (маркетинг, освіта, філологія, психологія, менеджмент)","Не купую, але мені це цікаво","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Отримати естетичне задоволення та натхнення","Мінімалістична графіка (прості форми, чисті заливки, чіткі контури);Експериментальна графіка (нестандартна, модерна графіка, яка не є масовою, але одразу запам'ятовується)","Не має значення, головне — загальна ідея","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки;Великий формат, де добре видно всі деталі","Достатньо лише самої книги, без додаткових елементів","Бажаю успіхів!"
"2026/08/23 3:02:57 PM GMT+3","25–34 роки","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Інколи купую під настрій","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Отримати естетичне задоволення та натхнення;Для власної колекції або на подарунок","Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти);Колажна графіка (мікс різних текстур, фотографій, паперових елементів);Експериментальна графіка (нестандартна, модерна графіка, яка не є масовою, але одразу запам'ятовується)","Не має значення, головне — загальна ідея","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Великий формат, де добре видно всі деталі;Цупкий матовий папір без зайвих відблисків","Арт-картки/листівки;Стікерпак/наліпки;Закладки;Металевий пін/значок","💜✨️"
"2026/08/23 3:10:06 PM GMT+3","35+ років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Так, купую регулярно","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Емоційно відпочити та перемкнути увагу;Отримати естетичне задоволення та натхнення;Для власної колекції або на подарунок","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Мінімалістична графіка (прості форми, чисті заливки, чіткі контури);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти);Колажна графіка (мікс різних текстур, фотографій, паперових елементів);Експериментальна графіка (нестандартна, модерна графіка, яка не є масовою, але одразу запам'ятовується)","Не має значення, головне — загальна ідея","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки;Наявність захисної суперобкладинки;Великий формат, де добре видно всі деталі;Цупкий матовий папір без зайвих відблисків","Арт-картки/листівки;Стікерпак/наліпки;Закладки;Металевий пін/значок","https://drive.google.com/file/d/19B00RON6LRFnqDcymnW7NAD0x71l4rCi/view?usp=drive_link"
"2026/08/23 3:11:54 PM GMT+3","18–24 років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Не купую, але мені це цікаво","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли є послідовна історія, яка веде читача від початку до розв'язки","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо)","Емоційно відпочити та перемкнути увагу;Відпочити від екрану та інформаційного шуму;Отримати естетичне задоволення та натхнення;Для власної колекції або на подарунок","Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти);Колажна графіка (мікс різних текстур, фотографій, паперових елементів);Експериментальна графіка (нестандартна, модерна графіка, яка не є масовою, але одразу запам'ятовується)","Насичена, яскрава","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки","Арт-картки/листівки;Закладки;Металевий пін/значок","Успіхів та натхнення під час розробки🥰"
"2026/08/23 3:13:33 PM GMT+3","18–24 років","Гуманітарна та суспільна (маркетинг, освіта, філологія, психологія, менеджмент)","Не купую, але мені це цікаво","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Емоційно відпочити та перемкнути увагу;Відпочити від екрану та інформаційного шуму","Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти);Колажна графіка (мікс різних текстур, фотографій, паперових елементів);Експериментальна графіка (нестандартна, модерна графіка, яка не є масовою, але одразу запам'ятовується)","Не має значення, головне — загальна ідея","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Великий формат, де добре видно всі деталі","Арт-картки/листівки;Стікерпак/наліпки;Закладки;Металевий пін/значок",""
"2026/08/23 3:26:57 PM GMT+3","25–34 роки","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Інколи купую під настрій","Переважно візуал (історія розповідається чисто картинками, без слів або майже без них)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Виразний авторський стиль (який виділяється і запам'ятовується);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Емоційно відпочити та перемкнути увагу;Відпочити від екрану та інформаційного шуму;Отримати естетичне задоволення та натхнення","Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти)","Насичена, яскрава","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки;Великий формат, де добре видно всі деталі;Цупкий матовий папір без зайвих відблисків","Стікерпак/наліпки;Металевий пін/значок","Бажаю успіхів та натхнення в дизайні ілюстрованого видання! обов'язково все вийде!🤗💪🏻✨"
